,0,1,2,3,4,5,6,7,8,9,10
0,7.200423310396388,14.50486394794163,10.978992165902326,4.245854644975111,6.780042272831224,7.47461008200284,11.224662061767901,1.776401139216631,3.234820240725554,7.086408292789827,0.0
1,7.2249502281588605,15.613061197116878,15.111002195781992,3.814246241926355,7.377614188298338,8.355097272853442,10.357631871208355,1.8389677149456247,3.7752700092024156,5.476769152487435,0.0
2,6.6010347529251305,14.420445107764436,13.632223336235086,4.777495553615665,6.77431563593791,8.550321457373173,10.079732786507094,2.1001388888182646,2.9246223878961928,6.469821596507103,0.0
3,7.680677208388232,14.756875782120716,9.907923285641488,5.103620586101101,6.297082295469181,7.954449475429158,9.530925004864173,2.43253873258692,3.0879103306147897,6.380758417536356,0.0
4,6.731385021769256,14.1976772289255,10.976288669800255,4.760913995897596,6.423698214442936,8.854785495153692,8.65528054260227,3.194049929467809,2.2945400100835798,4.735680882388124,0.0
5,5.966840723031879,10.545782011075744,10.7041517698201,4.335021430171196,5.741468562062067,8.03288975235364,7.766266068532985,3.3247002179705873,2.646586763862672,4.90862951484354,0.0
6,6.506768069714951,9.527349170501878,8.396057206967441,4.099590622400257,5.330710143385858,7.808298276172167,7.913421693425903,4.442979002937221,2.7677902690744247,3.5889777394907014,0.0
7,6.97047447976675,9.29914559604282,9.21316938249322,4.5386507345169775,4.836635580147856,7.694599137072316,6.471303159269382,4.408677867286485,2.573777803946655,1.564873876314124,0.0
8,6.859279648631826,7.9430087086777235,9.616752111435062,4.406786131347047,4.796698151267492,7.421901740509213,6.709612194081956,5.509656693254868,2.933933407551649,2.4479694290357656,0.0
9,6.206883139228694,7.912072914429274,10.670261664137513,3.2763865382026722,4.514122978037875,7.446872397994355,7.672398036059434,6.131665610982651,3.3507945834330712,2.3870065469720885,0.0
10,6.339197865383795,6.8139287993393225,11.503355835102496,4.296850947347963,4.346255116679686,7.423969606931905,8.209132786110985,6.092996293380111,3.655902934166818,2.120723311126369,0.0
